Item,Text,Sentiment,Trend,Source,Volume,Price Change,Category
Fruit,Fruit prices are going up.,0.2,down,Government Report,513,-5%,Technology
Milk,Milk production is high.,0.5,neutral,Market Analysis,875,0%,Commodity
Sugar,Sugar market is stable.,0.5,neutral,Market Analysis,1965,0%,Manufacturing
Oil,Oil demand is increasing.,0.5,down,News Website,1179,-3%,Commodity
Rice,Rice prices are increasing.,0.4,down,News Website,1495,-6%,Commodity
Sugar,Sugar market is stable.,0.5,neutral,Market Analysis,1396,0%,Manufacturing
Electronics,Electronics market is growing.,0.3,neutral,Social Media,517,0%,Agriculture
Coffee,Coffee prices are decreasing.,0.3,neutral,Market Analysis,1994,0%,Manufacturing
Wheat,Wheat production is high.,0.4,down,Social Media,1170,-4%,Manufacturing
Fruit,Fruit market is fluctuating.,0.5,neutral,Government Report,1655,0%,Commodity
Wheat,Wheat prices are expected to rise.,0.3,neutral,Social Media,1657,0%,Technology
Milk,Milk production is high.,0.3,up,Government Report,1608,7%,Manufacturing
Wheat,Wheat prices are dropping.,0.4,down,Government Report,1131,-2%,Manufacturing
Fruit,Fruit production is decreasing.,0.3,down,Social Media,1316,-5%,Commodity
Tea,Tea market is growing.,0.8,down,Government Report,1034,-8%,Agriculture
Wheat,Wheat market is stable.,0.6,down,Government Report,646,-8%,Manufacturing
Sugar,Sugar prices are increasing.,0.3,down,Government Report,1704,-2%,Manufacturing
Wheat,Wheat prices are expected to rise.,0.3,down,News Website,1475,-6%,Commodity
Oil,Oil prices are fluctuating.,0.3,down,News Website,1760,-4%,Technology
Oil,Oil prices are fluctuating.,0.3,up,News Website,1398,1%,Agriculture
Coffee,Coffee production is increasing.,0.5,up,Government Report,884,4%,Agriculture
Oil,Oil demand is increasing.,0.9,down,Government Report,701,-4%,Commodity
Corn,Corn market is stable.,0.3,up,News Website,1827,7%,Technology
Sugar,Sugar prices are increasing.,0.2,up,Social Media,1354,2%,Manufacturing
Wheat,Wheat prices are dropping.,0.8,up,Government Report,1625,7%,Manufacturing
Corn,Corn production is lower than expected.,0.4,down,Market Analysis,1292,-6%,Commodity
Fruit,Fruit market is fluctuating.,0.7,up,Market Analysis,779,1%,Technology
Wheat,Wheat prices are expected to rise.,0.5,up,Social Media,524,5%,Technology
Tea,Tea demand is stable.,0.9,down,Market Analysis,1537,-3%,Manufacturing
Corn,Corn market is stable.,0.3,up,News Website,1547,2%,Technology
Wheat,Wheat production is high.,0.4,down,News Website,706,-9%,Commodity
Milk,Milk prices are steady.,0.9,neutral,Social Media,892,0%,Manufacturing
Electronics,Electronics market is growing.,0.6,up,Market Analysis,1495,2%,Technology
Electronics,Electronics market is growing.,0.8,down,Market Analysis,1754,-9%,Manufacturing
Milk,Milk prices are steady.,0.6,up,Market Analysis,1975,4%,Agriculture
Electronics,Electronics sales are booming.,0.5,neutral,Market Analysis,756,0%,Manufacturing
Wheat,Wheat market is stable.,0.7,down,Government Report,1074,-1%,Manufacturing
Electronics,Electronics sales are booming.,0.5,neutral,Social Media,645,0%,Agriculture
Coffee,Coffee market is steady.,0.9,neutral,Market Analysis,1457,0%,Technology
Sugar,Sugar demand is rising.,0.6,neutral,Market Analysis,596,0%,Agriculture
Oil,Oil prices are dropping.,0.6,up,Government Report,1866,6%,Commodity
Tea,Tea production is stable.,0.2,neutral,Government Report,1409,0%,Technology
Coffee,Coffee production is increasing.,0.6,down,Market Analysis,752,-5%,Manufacturing
Rice,Rice prices are increasing.,0.6,up,Market Analysis,1417,3%,Manufacturing
Wheat,Wheat production is high.,0.4,up,Government Report,1794,7%,Commodity
Oil,Oil demand is increasing.,0.6,down,News Website,1753,-1%,Commodity
Rice,Rice prices are fluctuating.,0.4,neutral,Market Analysis,1713,0%,Manufacturing
Tea,Tea demand is stable.,0.3,down,Social Media,1907,-6%,Manufacturing
Rice,Rice market is unstable.,0.8,down,Government Report,1596,-2%,Agriculture
Coffee,Coffee market is steady.,0.4,neutral,Social Media,516,0%,Manufacturing
Rice,Rice prices are fluctuating.,0.8,neutral,Market Analysis,794,0%,Commodity
Tea,Tea prices are on the rise.,0.6,up,Market Analysis,1191,2%,Technology
Coffee,Coffee prices are decreasing.,0.8,neutral,Market Analysis,1373,0%,Technology
Sugar,Sugar prices are increasing.,0.2,down,Market Analysis,1189,-3%,Commodity
Tea,Tea market is growing.,0.9,down,Market Analysis,1100,-7%,Technology
Milk,Milk prices are increasing.,0.2,neutral,Government Report,948,0%,Manufacturing
Milk,Milk production is high.,0.3,down,News Website,1147,-5%,Commodity
Rice,Rice prices are increasing.,0.3,up,Market Analysis,1759,3%,Commodity
Oil,Oil prices are fluctuating.,0.4,up,Government Report,1716,1%,Manufacturing
Tea,Tea market is growing.,0.8,down,Government Report,1035,-4%,Manufacturing
Tea,Tea prices are on the rise.,0.4,down,News Website,1360,-2%,Commodity
Rice,Rice production is steady.,0.6,down,Market Analysis,1933,-9%,Commodity
Sugar,Sugar prices are volatile.,0.7,up,Market Analysis,1834,7%,Agriculture
Fruit,Fruit production is decreasing.,0.4,neutral,Social Media,1867,0%,Manufacturing
Wheat,Wheat prices are dropping.,0.8,up,News Website,1795,6%,Agriculture
Corn,Corn production is lower than expected.,0.2,down,Market Analysis,1194,-5%,Technology
Tea,Tea prices are on the rise.,0.3,up,News Website,1069,5%,Technology
Rice,Rice market is unstable.,0.7,up,Government Report,1874,9%,Manufacturing
Milk,Milk market is fluctuating.,0.6,neutral,News Website,1702,0%,Agriculture
Tea,Tea production is stable.,0.7,up,Government Report,518,1%,Commodity
Corn,Corn prices are steady.,0.3,up,Government Report,1091,8%,Manufacturing
Rice,Rice prices are increasing.,0.7,down,Social Media,1770,-6%,Commodity
Rice,Rice production is steady.,0.8,up,Government Report,1007,9%,Agriculture
Fruit,Fruit prices are going up.,0.9,neutral,Government Report,1402,0%,Technology
Coffee,Coffee production is increasing.,0.8,up,News Website,1041,9%,Technology
Fruit,Fruit prices are going up.,0.6,neutral,News Website,1454,0%,Agriculture
Corn,Corn market is stable.,0.7,down,Government Report,1755,-7%,Commodity
Rice,Rice market is unstable.,0.9,neutral,Government Report,619,0%,Manufacturing
Tea,Tea prices are on the rise.,0.4,neutral,News Website,1599,0%,Manufacturing
Electronics,Electronics market is growing.,0.9,neutral,Social Media,1252,0%,Technology
Corn,Corn production is lower than expected.,0.4,down,News Website,719,-7%,Manufacturing
Fruit,Fruit market is fluctuating.,0.5,neutral,News Website,1061,0%,Technology
Coffee,Coffee prices are volatile.,0.7,up,Government Report,1351,1%,Technology
Corn,Corn market is stable.,0.6,neutral,News Website,598,0%,Manufacturing
Sugar,Sugar market is stable.,0.2,neutral,Social Media,1122,0%,Technology
Sugar,Sugar prices are increasing.,0.2,neutral,Social Media,1400,0%,Commodity
Rice,Rice market is unstable.,0.6,neutral,News Website,1447,0%,Agriculture
Fruit,Fruit demand is steady.,0.4,down,Social Media,1554,-8%,Manufacturing
Rice,Rice prices are increasing.,0.7,up,News Website,1033,5%,Agriculture
Wheat,Wheat production is high.,0.3,up,Market Analysis,1486,9%,Agriculture
Electronics,Electronics market is growing.,0.9,down,Market Analysis,1989,-5%,Manufacturing
Electronics,Electronics sales are booming.,0.6,down,Market Analysis,1107,-8%,Commodity
Corn,Corn production is lower than expected.,0.7,up,News Website,1217,7%,Commodity
Electronics,Electronics sales are down.,0.7,down,Social Media,644,-5%,Technology
Oil,Oil market is recovering.,0.8,down,News Website,911,-5%,Commodity
Corn,Corn market is stable.,0.2,down,News Website,928,-4%,Agriculture
Coffee,Coffee prices are decreasing.,0.4,neutral,News Website,986,0%,Manufacturing
Rice,Rice prices are increasing.,0.4,down,Government Report,608,-7%,Technology
Milk,Milk production is high.,0.4,down,Social Media,551,-9%,Agriculture
Milk,Milk prices are increasing.,0.6,neutral,News Website,1387,0%,Agriculture
Fruit,Fruit demand is steady.,0.2,down,News Website,825,-9%,Technology
Tea,Tea market is growing.,0.5,up,News Website,1413,1%,Manufacturing
Sugar,Sugar prices are increasing.,0.5,up,Government Report,528,7%,Agriculture
Oil,Oil market is recovering.,0.2,up,Government Report,1912,6%,Agriculture
Rice,Rice market is unstable.,0.5,up,News Website,1316,9%,Agriculture
Sugar,Sugar demand is rising.,0.3,down,Government Report,1533,-1%,Agriculture
Electronics,Electronics sales are down.,0.9,down,Social Media,1189,-6%,Agriculture
Fruit,Fruit prices are going up.,0.7,neutral,Social Media,1498,0%,Manufacturing
Sugar,Sugar prices are volatile.,0.7,down,Social Media,914,-7%,Agriculture
Corn,Corn production is lower than expected.,0.8,neutral,Social Media,837,0%,Manufacturing
Tea,Tea market is growing.,0.4,down,Social Media,917,-9%,Manufacturing
Fruit,Fruit production is decreasing.,0.4,down,Market Analysis,1599,-1%,Commodity
Electronics,Electronics prices are declining.,0.3,neutral,Social Media,1841,0%,Commodity
Corn,Corn production is high.,0.9,up,Social Media,1145,9%,Agriculture
Sugar,Sugar prices are volatile.,0.8,up,Social Media,1234,2%,Commodity
Tea,Tea demand is stable.,0.6,down,Market Analysis,1221,-4%,Technology
Coffee,Coffee prices are decreasing.,0.6,up,Social Media,1055,7%,Agriculture
Oil,Oil demand is increasing.,0.4,up,Government Report,665,3%,Commodity
Oil,Oil market is recovering.,0.4,neutral,News Website,1600,0%,Technology
Tea,Tea market is growing.,0.6,neutral,News Website,1579,0%,Manufacturing
Rice,Rice market is unstable.,0.8,up,Market Analysis,1879,7%,Agriculture
Electronics,Electronics prices are declining.,0.2,up,Government Report,1651,3%,Commodity
Rice,Rice prices are increasing.,0.5,neutral,News Website,912,0%,Commodity
Coffee,Coffee prices are volatile.,0.3,neutral,Social Media,1430,0%,Commodity
Wheat,Wheat market is stable.,0.3,down,Market Analysis,1363,-9%,Manufacturing
Fruit,Fruit demand is steady.,0.5,up,Market Analysis,1977,9%,Agriculture
Milk,Milk prices are increasing.,0.7,down,Government Report,506,-5%,Commodity
Tea,Tea market is growing.,0.5,up,Social Media,1191,2%,Agriculture
Fruit,Fruit prices are going up.,0.6,neutral,Government Report,1045,0%,Manufacturing
Tea,Tea production is stable.,0.5,neutral,Market Analysis,1481,0%,Commodity
Fruit,Fruit demand is steady.,0.9,down,News Website,1816,-1%,Manufacturing
Corn,Corn prices are steady.,0.6,neutral,Social Media,1686,0%,Manufacturing
Wheat,Wheat production is high.,0.7,down,Government Report,532,-9%,Manufacturing
Tea,Tea demand is stable.,0.2,down,Market Analysis,852,-2%,Manufacturing
Milk,Milk production is high.,0.4,down,Market Analysis,1765,-2%,Agriculture
Electronics,Electronics prices are declining.,0.9,up,Social Media,1388,2%,Agriculture
Fruit,Fruit production is decreasing.,0.2,up,Market Analysis,1251,8%,Commodity
Fruit,Fruit production is decreasing.,0.9,neutral,News Website,1908,0%,Agriculture
Wheat,Wheat prices are dropping.,0.7,down,Government Report,1971,-9%,Manufacturing
Wheat,Wheat production is high.,0.9,down,Market Analysis,879,-2%,Technology
Electronics,Electronics prices are declining.,0.8,down,Market Analysis,681,-5%,Manufacturing
Oil,Oil prices are fluctuating.,0.6,up,News Website,1597,6%,Commodity
Sugar,Sugar prices are volatile.,0.9,down,News Website,1543,-8%,Commodity
Rice,Rice prices are fluctuating.,0.3,up,Market Analysis,1674,5%,Manufacturing
Fruit,Fruit market is fluctuating.,0.3,up,News Website,1673,5%,Technology
Electronics,Electronics market is growing.,0.7,down,News Website,1176,-1%,Manufacturing
Rice,Rice production is steady.,0.7,down,Government Report,610,-7%,Manufacturing
Wheat,Wheat prices are dropping.,0.5,down,Government Report,1807,-7%,Agriculture
Coffee,Coffee prices are decreasing.,0.8,up,Government Report,1930,5%,Manufacturing
Tea,Tea demand is stable.,0.9,down,Social Media,554,-2%,Technology
Corn,Corn market is stable.,0.8,down,Government Report,1133,-5%,Manufacturing
Tea,Tea production is stable.,0.4,down,Market Analysis,774,-3%,Technology
Oil,Oil prices are dropping.,0.8,neutral,Market Analysis,972,0%,Agriculture
Sugar,Sugar prices are volatile.,0.3,down,News Website,808,-8%,Agriculture
Sugar,Sugar demand is rising.,0.9,up,News Website,524,8%,Commodity
Corn,Corn prices are steady.,0.9,neutral,Government Report,1017,0%,Manufacturing
Rice,Rice prices are fluctuating.,0.6,up,Market Analysis,1522,4%,Technology
Tea,Tea demand is stable.,0.3,up,Social Media,1796,4%,Commodity
Fruit,Fruit market is fluctuating.,0.5,down,News Website,549,-3%,Technology
Rice,Rice market is unstable.,0.3,down,Government Report,1805,-9%,Manufacturing
Rice,Rice prices are fluctuating.,0.9,up,Market Analysis,811,3%,Agriculture
Electronics,Electronics sales are booming.,0.3,neutral,News Website,1648,0%,Manufacturing
Tea,Tea market is growing.,0.8,up,Market Analysis,1016,2%,Manufacturing
Tea,Tea production is stable.,0.7,up,Market Analysis,1739,3%,Technology
Tea,Tea demand is stable.,0.7,down,Social Media,743,-2%,Agriculture
Tea,Tea prices are on the rise.,0.5,down,Social Media,668,-7%,Agriculture
Sugar,Sugar demand is rising.,0.3,neutral,Government Report,1208,0%,Manufacturing
Oil,Oil prices are fluctuating.,0.5,neutral,Government Report,1136,0%,Agriculture
Milk,Milk market is fluctuating.,0.5,up,Market Analysis,784,9%,Manufacturing
Fruit,Fruit market is fluctuating.,0.6,neutral,Government Report,999,0%,Manufacturing
Oil,Oil demand is increasing.,0.4,up,Government Report,579,6%,Commodity
Fruit,Fruit market is fluctuating.,0.5,neutral,Market Analysis,607,0%,Manufacturing
Corn,Corn market is stable.,0.2,neutral,Social Media,1111,0%,Technology
Electronics,Electronics sales are booming.,0.3,down,Market Analysis,678,-1%,Technology
Tea,Tea prices are on the rise.,0.3,up,Social Media,1229,7%,Manufacturing
Coffee,Coffee prices are volatile.,0.4,up,Social Media,1193,3%,Commodity
Electronics,Electronics prices are declining.,0.3,neutral,Market Analysis,1079,0%,Technology
Coffee,Coffee prices are decreasing.,0.4,up,Government Report,961,3%,Technology
Wheat,Wheat prices are dropping.,0.4,down,Government Report,568,-2%,Manufacturing
Fruit,Fruit prices are going up.,0.4,neutral,Government Report,706,0%,Manufacturing
Oil,Oil prices are fluctuating.,0.4,up,Social Media,1284,4%,Agriculture
Oil,Oil prices are fluctuating.,0.5,neutral,News Website,1892,0%,Commodity
Corn,Corn market is stable.,0.2,up,News Website,1328,7%,Agriculture
Fruit,Fruit production is decreasing.,0.5,down,News Website,956,-5%,Agriculture
Fruit,Fruit prices are going up.,0.2,up,Government Report,959,5%,Technology
Electronics,Electronics sales are down.,0.5,down,Market Analysis,513,-8%,Technology
Coffee,Coffee production is increasing.,0.7,up,Government Report,783,8%,Commodity
Tea,Tea demand is stable.,0.6,down,Social Media,1188,-5%,Commodity
Corn,Corn prices are steady.,0.5,up,Government Report,650,7%,Manufacturing
Corn,Corn prices are steady.,0.8,up,Social Media,885,7%,Agriculture
Wheat,Wheat prices are expected to rise.,0.8,up,News Website,917,4%,Technology
Oil,Oil prices are dropping.,0.6,down,Market Analysis,993,-4%,Technology
Milk,Milk prices are steady.,0.2,down,Government Report,870,-2%,Agriculture
Coffee,Coffee market is steady.,0.2,neutral,News Website,1861,0%,Technology
Sugar,Sugar market is stable.,0.8,down,Market Analysis,1096,-8%,Manufacturing
Coffee,Coffee market is steady.,0.9,down,Market Analysis,521,-1%,Technology
Electronics,Electronics sales are down.,0.5,up,News Website,1914,7%,Agriculture
Milk,Milk prices are steady.,0.3,down,Market Analysis,1150,-2%,Commodity
Electronics,Electronics prices are declining.,0.9,neutral,Market Analysis,1332,0%,Technology
Oil,Oil market is recovering.,0.7,up,Market Analysis,1567,6%,Manufacturing
Milk,Milk market is fluctuating.,0.7,neutral,News Website,1858,0%,Agriculture
Electronics,Electronics market is growing.,0.8,up,Government Report,1847,2%,Commodity
Sugar,Sugar prices are volatile.,0.7,down,Market Analysis,1016,-5%,Commodity
Electronics,Electronics market is growing.,0.3,down,News Website,1297,-7%,Technology
Sugar,Sugar prices are increasing.,0.9,neutral,Government Report,569,0%,Commodity
Sugar,Sugar prices are increasing.,0.6,neutral,News Website,930,0%,Commodity
Corn,Corn production is high.,0.5,down,Social Media,1766,-9%,Manufacturing
Rice,Rice prices are fluctuating.,0.3,down,Government Report,1800,-1%,Technology
Milk,Milk market is fluctuating.,0.6,down,Market Analysis,911,-8%,Technology
Fruit,Fruit demand is steady.,0.4,up,Market Analysis,1467,6%,Manufacturing
Coffee,Coffee production is increasing.,0.7,neutral,News Website,869,0%,Agriculture
Corn,Corn prices are steady.,0.9,neutral,News Website,511,0%,Manufacturing
Sugar,Sugar market is stable.,0.8,neutral,Market Analysis,1301,0%,Technology
Fruit,Fruit prices are going up.,0.2,down,Government Report,1832,-3%,Technology
Rice,Rice production is steady.,0.5,neutral,Government Report,1035,0%,Agriculture
Wheat,Wheat prices are dropping.,0.9,down,News Website,1330,-5%,Manufacturing
Wheat,Wheat market is stable.,0.6,up,News Website,763,3%,Agriculture
Tea,Tea market is growing.,0.9,up,Social Media,1154,6%,Manufacturing
Electronics,Electronics market is growing.,0.8,up,Market Analysis,1298,5%,Technology
Electronics,Electronics prices are declining.,0.8,neutral,Market Analysis,1171,0%,Commodity
Sugar,Sugar market is stable.,0.7,up,Social Media,563,6%,Commodity
Sugar,Sugar prices are increasing.,0.2,up,Social Media,1233,6%,Agriculture
Milk,Milk production is high.,0.4,up,News Website,1070,8%,Manufacturing
